ID,Resistence,time_constant,streng_rectif,rebound_slope,nb_rebound_sp,sag,sag_ratio,rheobaseLP,burst,delay,latencyLP,meanISI,cv_ISI,adaptation1,adaptation2,peak_adaptation1,peak_adaptation2,peakLP,thresholdLP,half_width,height,fastTrough,slowTrough,nb_persistent,dur_persistence,firing_rate_2xRB,cvISIlast_2xRB,rheobase_3ms,latency,threshold,threshold2,peak,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,halfWidthTP,halfWidthPT,peakDown,trough,preview,link,Morphology
M05_SM_A1_C14,573.12013,29.5,56.81396611,0.00409296,1,56.81396611,2.081542072,10,261.4,0.037375148,11.6,310.3666667,0.640239718,-0.010460784,0.925640444,1.088119591,0.000981537,1.678466834,-37.10937583,,38.78784266,5.1,415.2,0,0,,,,0,,,,,,,,,,,,,,,
M05_SM_A1_C01,295.4101629,22.5,4.268798924,-0.000860543,0,4.268798924,1.044560259,70,230.5,0.147401678,45.1,305.9666667,0.429190496,0.149757621,1.879473468,0.988458927,0.004540605,13.51928741,-31.43310617,,44.95239358,4.6,213.6,0,0,,,,0,,,,,,,,,,,,,,,
M10_JS_A1_C09,205.9936569,17.16428571,3.95385751,-0.000477288,0,3.95385751,1.042264732,120,53.05,0.906082052,19.8,21.85232558,0.480026707,-0.015131892,0.233352976,0.965550704,0.000217445,31.12793038,-31.76879954,,62.89672992,1.1,63.3,1,0.4,137,0.023859144,330,3.4,-36.46850667,-36.46850667,40.25268645,76.72119312,98.84643776,446.1670022,-272.8271545,-1.635346756,0.35,0.4,-272.8271545,-58.59375131,,,
M10_MJ_A1_C15,135.131839,19.39375,0.794799822,-0.000165853,0,0.794799822,1.0095129,150,,,12.3,,,,,,,8.978271685,-49.22485462,3.75,58.2031263,5.05,19.8,0,0,,,,0,,,,,,,,,,,,,,,
M10_MJ_A1_C08,146.7285189,19.4875,4.027954192,-0.001170068,1,4.027954192,1.064769468,50,,,11.7,,,,,,,23.30322318,-43.56689551,3.05,66.87011868,5.05,38.85,0,0,1,,175,3.7,-47.07031355,-47.07031355,27.12402404,74.1943376,83.00171084,125.4882841,-24.78027399,-5.064039409,2.75,3,-24.78027399,-55.8776868,,,
M01_MW_D5_C12,306.5185615,34.28333333,3.86450204,0.002242945,0,3.86450204,1.035699465,90,,,104.4,,,,,,,19.01855511,-45.67260844,2.8,64.69116356,5.1,16.5,0,0,2,0,300,3.75,-45.47729594,-45.47729594,13.91601594,59.39331187,82.53174013,143.3105501,-52.1240246,-2.74941452,1.3,1.65,-52.1240246,-68.61572419,,,
M10_MJ_A1_C07,102.1728538,18.78125,0.169677738,-0.000108125,0,0.169677738,1.001991233,70,298.825,0.486739731,145.45,298.825,0.130027667,,,0.97705146,,26.89819396,-52.09350702,2.8,78.99170098,5.05,37.65,0,0,13,0.069156125,,0,,,,,,,,,,,,,,,
M05_MJ_A1_C05,102.8442406,7.6,3.385864333,-0.000621856,1,3.385864333,1.059436896,50,,,4.15,,,,,,,14.70947299,-42.00744723,2.6,56.71692021,5.05,13.4,0,0,,,,0,,,,,,,,,,,,,,,
M10_MJ_A1_C12,224.4873097,22.825,1.942016645,-0.000263814,0,1.942016645,1.017807433,150,,,183.75,,,,,,,0.140380863,-66.36352687,2.55,66.50390774,5.05,44.8,0,0,,,,0,,,,,,,,,,,,,,,
M05_MJ_A1_C02,227.2338918,31.44166667,0.346069344,0.000211124,0,0.346069344,1.004497038,70,,,21.1,,,,,,,3.472900468,-37.79296959,2.35,41.26587006,5.05,21.05,0,0,2,0,,0,,,,,,,,,,,,,,,
